                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.631,                 2.7831,                 1.5201,                0.23357,                 0.3526,                0.18752,                0.09981,                 1.7274,                  4.474,                 1.8289,             0.00054641,             0.00054641,             0.00054641
                      2,                 1.6278,                 1.9832,                 1.5617,                0.01959,                0.16568,                0.01204,                0.00627,                 2.0408,                    inf,                 2.0928,              0.0010899,              0.0010899,              0.0010899
                      3,                 1.6376,                 1.9947,                 1.6118,                0.22626,                 0.3372,                0.25968,                0.13108,                  1.834,                 4.0072,                 1.9064,              0.0016213,              0.0016213,              0.0016213
                      4,                 1.5922,                  1.769,                 1.5463,                0.47472,                0.42537,                0.41886,                0.22163,                 1.5826,                   4.41,                 1.7551,               0.001612,               0.001612,               0.001612
                      5,                 1.5862,                 1.5946,                 1.5724,                0.51764,                0.54786,                 0.4987,                0.26127,                 1.6874,                 1.8056,                 1.7835,              0.0015937,              0.0015937,              0.0015937
                      6,                 1.5486,                 1.5063,                  1.592,                0.40048,                0.54277,                0.41997,                0.21135,                 1.6847,                 1.9511,                 1.8556,              0.0015753,              0.0015753,              0.0015753
                      7,                 1.5506,                 1.5227,                  1.589,                0.32327,                0.42128,                0.32901,                0.17732,                 1.6381,                 2.1176,                 1.7778,               0.001557,               0.001557,               0.001557
                      8,                 1.5354,                 1.4608,                 1.5374,                0.45482,                0.44673,                  0.399,                0.19989,                  1.797,                 1.9712,                 1.8741,              0.0015386,              0.0015386,              0.0015386
                      9,                 1.4976,                  1.478,                 1.5354,                0.44686,                 0.3557,                 0.3502,                0.17948,                 1.7385,                  2.087,                 1.8471,              0.0015203,              0.0015203,              0.0015203
                     10,                  1.497,                 1.3807,                 1.5237,                0.54905,                0.57104,                0.54296,                0.29509,                 1.6224,                 1.5212,                 1.7412,               0.001502,               0.001502,               0.001502
                     11,                 1.4632,                 1.3013,                 1.4755,                0.58504,                0.53334,                 0.5437,                0.29059,                 1.6676,                 1.5476,                 1.7825,              0.0014836,              0.0014836,              0.0014836
                     12,                 1.4896,                 1.3289,                 1.5033,                0.58446,                0.56169,                0.56195,                0.29168,                 1.6535,                 1.5653,                 1.7511,              0.0014653,              0.0014653,              0.0014653
                     13,                 1.4664,                  1.351,                 1.5093,                0.55768,                0.56265,                0.52855,                0.27124,                 1.5772,                 1.5703,                 1.6479,               0.001447,               0.001447,               0.001447
                     14,                 1.4192,                 1.2203,                  1.449,                0.63869,                0.61789,                0.62771,                0.34807,                 1.5164,                 1.5223,                 1.5896,              0.0014286,              0.0014286,              0.0014286
                     15,                 1.4067,                 1.2675,                 1.4646,                0.57984,                0.65679,                0.60443,                0.33215,                 1.5307,                 1.3879,                 1.6472,              0.0014103,              0.0014103,              0.0014103
                     16,                 1.3745,                 1.2325,                 1.4217,                0.60456,                0.67308,                0.62037,                0.34382,                 1.4911,                 1.2713,                 1.6154,              0.0013919,              0.0013919,              0.0013919
                     17,                 1.3639,                 1.1647,                 1.4029,                0.60558,                0.66007,                0.61226,                0.35352,                 1.4818,                 1.3115,                 1.5981,              0.0013736,              0.0013736,              0.0013736
                     18,                 1.3878,                  1.133,                 1.4277,                0.58365,                0.60835,                0.57919,                0.32269,                 1.4994,                 1.4219,                 1.6513,              0.0013553,              0.0013553,              0.0013553
                     19,                 1.4015,                 1.1949,                 1.4922,                0.59227,                0.63415,                0.64122,                0.36073,                 1.5208,                 1.3684,                 1.6427,              0.0013369,              0.0013369,              0.0013369
                     20,                 1.3527,                   1.16,                 1.4082,                0.69642,                0.63963,                0.67128,                 0.3557,                 1.5721,                 1.2273,                 1.7059,              0.0013186,              0.0013186,              0.0013186
                     21,                 1.3628,                 1.1158,                 1.4445,                0.55007,                0.68029,                0.59602,                0.31367,                 1.5653,                 1.2909,                 1.6912,              0.0013003,              0.0013003,              0.0013003
                     22,                 1.3498,                 1.1069,                 1.4094,                0.63378,                0.62124,                0.61878,                0.34215,                 1.4885,                 1.2216,                 1.6274,              0.0012819,              0.0012819,              0.0012819
                     23,                 1.3394,                 1.0733,                  1.405,                0.69531,                0.59849,                0.65973,                0.37042,                 1.5092,                 1.2419,                 1.6326,              0.0012636,              0.0012636,              0.0012636
                     24,                  1.355,                 1.0878,                 1.4373,                0.63562,                 0.6808,                0.63221,                 0.3578,                 1.4665,                 1.3205,                 1.5992,              0.0012452,              0.0012452,              0.0012452
                     25,                 1.2948,                 1.0508,                 1.3806,                0.61912,                0.69392,                0.65526,                0.36617,                 1.5121,                 1.2187,                 1.6186,              0.0012269,              0.0012269,              0.0012269
                     26,                 1.2332,                0.98882,                 1.3405,                0.61345,                0.71794,                0.68969,                0.38739,                 1.4737,                 1.1807,                 1.5946,              0.0012086,              0.0012086,              0.0012086
                     27,                 1.2738,                 1.0033,                 1.3514,                0.63095,                0.67959,                0.68786,                 0.3939,                 1.4741,                 1.1816,                 1.6078,              0.0011902,              0.0011902,              0.0011902
                     28,                 1.2594,                0.97194,                 1.3417,                0.71986,                0.58584,                0.64296,                0.34021,                 1.5458,                 1.2727,                 1.6423,              0.0011719,              0.0011719,              0.0011719
                     29,                  1.233,                0.93917,                 1.3319,                0.69775,                0.55045,                0.60081,                0.33747,                 1.5128,                 1.2645,                 1.6212,              0.0011536,              0.0011536,              0.0011536
                     30,                 1.2265,                0.93585,                 1.3468,                0.66636,                0.67362,                0.65722,                0.36862,                 1.4895,                 1.1703,                 1.6082,              0.0011352,              0.0011352,              0.0011352
                     31,                 1.2601,                0.96414,                 1.3443,                0.67247,                0.70107,                 0.6902,                0.37617,                  1.487,                 1.0811,                 1.6078,              0.0011169,              0.0011169,              0.0011169
                     32,                 1.2001,                 0.9211,                 1.3273,                0.67827,                0.71707,                0.68222,                0.38452,                 1.4625,                 1.1618,                  1.581,              0.0010986,              0.0010986,              0.0010986
                     33,                 1.2414,                0.92492,                 1.3212,                0.64247,                0.67133,                 0.6408,                0.36773,                 1.4198,                 1.1476,                 1.5449,              0.0010802,              0.0010802,              0.0010802
                     34,                 1.2326,                0.92544,                 1.3374,                0.61517,                  0.692,                0.66028,                0.36991,                 1.4804,                 1.2186,                 1.6006,              0.0010619,              0.0010619,              0.0010619
                     35,                 1.2064,                0.92762,                 1.3094,                0.71706,                0.69786,                0.71947,                0.42127,                 1.4938,                  1.074,                 1.6163,              0.0010435,              0.0010435,              0.0010435
                     36,                 1.1508,                 0.8939,                 1.2908,                0.62838,                0.69998,                0.67979,                0.39471,                 1.4788,                 1.0702,                 1.5944,              0.0010252,              0.0010252,              0.0010252
                     37,                 1.1564,                0.81586,                 1.2894,                0.66936,                 0.6898,                0.68309,                0.39351,                 1.4655,                 1.1122,                 1.5969,              0.0010069,              0.0010069,              0.0010069
                     38,                 1.1448,                0.84524,                 1.2785,                0.69165,                0.67825,                0.69062,                0.39334,                 1.5355,                 1.1436,                 1.6447,             0.00098853,             0.00098853,             0.00098853
                     39,                 1.1576,                 0.8522,                 1.2814,                0.60352,                0.72178,                0.66789,                0.38659,                 1.4996,                 1.2366,                 1.6231,             0.00097019,             0.00097019,             0.00097019
                     40,                 1.1931,                 0.8363,                 1.2972,                0.61713,                0.74044,                0.67529,                0.38865,                 1.4926,                 1.0987,                 1.6326,             0.00095186,             0.00095186,             0.00095186
                     41,                  1.135,                0.82241,                 1.2687,                0.68366,                0.71588,                0.69017,                0.38112,                  1.545,                 1.1261,                 1.6611,             0.00093352,             0.00093352,             0.00093352
                     42,                 1.1185,                0.84317,                 1.2583,                0.67679,                0.72729,                0.71416,                0.40893,                 1.4571,                 1.0731,                 1.6113,             0.00091518,             0.00091518,             0.00091518
                     43,                 1.1024,                0.82813,                 1.2553,                0.68223,                0.66392,                0.71246,                0.42246,                 1.4482,                  1.108,                 1.5896,             0.00089685,             0.00089685,             0.00089685
                     44,                 1.1325,                0.81617,                 1.2547,                0.71081,                0.69343,                 0.7263,                0.41567,                 1.4447,                 1.0716,                 1.5869,             0.00087851,             0.00087851,             0.00087851
                     45,                 1.1191,                0.79351,                 1.2594,                0.68404,                0.70813,                0.67694,                0.38939,                 1.4882,                   1.05,                 1.6157,             0.00086017,             0.00086017,             0.00086017
                     46,                 1.0909,                0.74664,                 1.2453,                0.65669,                0.68841,                0.67678,                0.39049,                 1.4684,                 1.1068,                 1.6133,             0.00084184,             0.00084184,             0.00084184
                     47,                 1.1085,                0.74956,                 1.2345,                0.70417,                0.65636,                0.69342,                0.40336,                 1.4406,                 1.1053,                   1.58,              0.0008235,              0.0008235,              0.0008235
                     48,                 1.0422,                0.71039,                 1.2271,                0.71216,                0.71372,                0.72628,                0.41228,                 1.5049,                 1.0563,                 1.6364,             0.00080516,             0.00080516,             0.00080516
                     49,                 1.0613,                0.73784,                 1.2295,                0.66416,                0.72556,                  0.702,                0.41265,                 1.4716,                  1.055,                 1.6139,             0.00078682,             0.00078682,             0.00078682
                     50,                 1.0341,                0.68342,                 1.2037,                0.67659,                0.70125,                0.71225,                0.42024,                 1.4619,                  1.037,                 1.6207,             0.00076849,             0.00076849,             0.00076849
                     51,                 1.0443,                0.72611,                 1.2052,                0.61246,                0.77496,                0.71079,                0.39614,                 1.5238,                 1.1106,                 1.6719,             0.00075015,             0.00075015,             0.00075015
                     52,                 1.0507,                 0.7065,                 1.2122,                0.69365,                0.67995,                0.72137,                0.42642,                 1.4834,                  1.092,                 1.6278,             0.00073181,             0.00073181,             0.00073181
                     53,                 1.0386,                0.69706,                 1.2139,                0.70911,                0.71249,                 0.6935,                0.39819,                 1.4798,                 1.1218,                 1.6389,             0.00071348,             0.00071348,             0.00071348
                     54,                0.96832,                 0.6769,                 1.1832,                0.76704,                0.67362,                 0.7047,                0.39492,                 1.4989,                 1.0577,                 1.6775,             0.00069514,             0.00069514,             0.00069514
                     55,                 1.0209,                0.71042,                 1.1946,                0.76156,                0.62963,                0.69751,                0.39505,                 1.5104,                  1.102,                  1.681,              0.0006768,              0.0006768,              0.0006768
                     56,                 1.0026,                0.70079,                 1.1683,                0.69348,                0.73918,                0.73097,                0.42621,                 1.4793,                 1.0545,                  1.639,             0.00065847,             0.00065847,             0.00065847
                     57,                0.96352,                0.65927,                 1.1508,                0.78672,                0.66598,                0.74246,                0.43699,                 1.4823,                 1.0605,                 1.6554,             0.00064013,             0.00064013,             0.00064013
                     58,                0.97812,                0.66196,                 1.1913,                0.69468,                 0.6841,                0.71484,                0.41505,                 1.4657,                 1.0942,                 1.6263,             0.00062179,             0.00062179,             0.00062179
                     59,                0.96334,                0.64506,                  1.158,                0.72499,                0.64935,                0.68979,                  0.391,                 1.4918,                 1.0685,                  1.662,             0.00060345,             0.00060345,             0.00060345
                     60,                0.93984,                0.61964,                 1.1492,                0.66738,                0.71894,                0.71352,                 0.4156,                 1.5031,                 1.0708,                 1.6675,             0.00058512,             0.00058512,             0.00058512
                     61,                0.92265,                0.64542,                 1.1405,                0.73435,                0.69316,                0.71654,                0.42011,                 1.5008,                 1.0873,                 1.6628,             0.00056678,             0.00056678,             0.00056678
                     62,                0.94297,                0.63581,                  1.142,                0.71482,                0.65059,                  0.706,                  0.414,                 1.4965,                 1.1013,                 1.7067,             0.00054844,             0.00054844,             0.00054844
                     63,                0.95719,                0.62954,                 1.1478,                0.80954,                0.62507,                0.70135,                0.40169,                  1.513,                 1.0958,                  1.715,             0.00053011,             0.00053011,             0.00053011
                     64,                0.90756,                0.61994,                 1.1336,                0.72897,                0.63691,                0.70406,                0.41451,                 1.5052,                 1.1498,                 1.6832,             0.00051177,             0.00051177,             0.00051177
                     65,                 0.8943,                0.61317,                 1.1321,                0.70311,                0.69515,                0.72382,                0.42209,                 1.4997,                 1.0782,                 1.6883,             0.00049343,             0.00049343,             0.00049343
                     66,                0.85095,                0.57327,                 1.0997,                0.70602,                0.71263,                0.72279,                0.42046,                 1.4721,                 1.0775,                 1.6668,              0.0004751,              0.0004751,              0.0004751
                     67,                0.87574,                0.60839,                 1.1058,                0.69208,                0.75102,                0.71921,                0.40838,                 1.4995,                  1.041,                  1.717,             0.00045676,             0.00045676,             0.00045676
                     68,                0.87304,                0.59726,                 1.1136,                0.73531,                0.66064,                0.71579,                0.40712,                 1.5114,                 1.0578,                  1.725,             0.00043842,             0.00043842,             0.00043842
                     69,                0.83363,                 0.5552,                 1.0963,                0.75365,                0.64272,                0.69705,                0.41076,                 1.4793,                 1.1148,                 1.6994,             0.00042008,             0.00042008,             0.00042008
                     70,                0.84478,                0.55175,                 1.0915,                0.75222,                0.65463,                0.69597,                0.40319,                 1.5099,                 1.1517,                 1.6998,             0.00040175,             0.00040175,             0.00040175
                     71,                0.84219,                0.55457,                 1.0791,                0.73398,                0.66433,                0.69775,                0.39653,                  1.516,                 1.1595,                 1.7346,             0.00038341,             0.00038341,             0.00038341
                     72,                0.81249,                0.55178,                 1.0652,                0.76318,                0.65325,                0.72171,                0.41794,                  1.501,                 1.1072,                 1.7106,             0.00036507,             0.00036507,             0.00036507
                     73,                0.81821,                0.54842,                 1.0649,                0.72279,                 0.6791,                0.71717,                0.41291,                 1.4949,                  1.106,                 1.7062,             0.00034674,             0.00034674,             0.00034674
                     74,                0.82759,                0.55865,                  1.082,                0.71089,                0.71782,                0.72637,                0.41711,                  1.489,                 1.1151,                 1.7126,              0.0003284,              0.0003284,              0.0003284
                     75,                0.77985,                0.52114,                 1.0512,                0.79612,                0.63845,                0.73995,                0.43731,                 1.4923,                 1.1206,                 1.7279,             0.00031006,             0.00031006,             0.00031006
                     76,                0.78108,                0.51611,                 1.0547,                0.74307,                0.65587,                0.71256,                0.40851,                  1.487,                 1.1246,                 1.7233,             0.00029172,             0.00029172,             0.00029172
                     77,                0.76961,                0.51509,                 1.0401,                0.77044,                0.62677,                0.71422,                0.40996,                 1.4774,                 1.1214,                 1.7119,             0.00027339,             0.00027339,             0.00027339
                     78,                0.77297,                0.52435,                 1.0456,                0.69968,                0.70699,                 0.7053,                0.40924,                 1.4684,                 1.1695,                 1.7135,             0.00025505,             0.00025505,             0.00025505
                     79,                0.73767,                0.48566,                 1.0366,                0.72721,                0.67362,                0.69708,                0.39643,                 1.5254,                  1.218,                 1.7622,             0.00023671,             0.00023671,             0.00023671
                     80,                0.74346,                 0.4905,                 1.0352,                0.68079,                0.69074,                0.70131,                0.40109,                 1.4984,                 1.1788,                 1.7475,             0.00021838,             0.00021838,             0.00021838
                     81,                0.74306,                0.43912,                 1.0372,                0.73761,                0.63729,                0.69477,                0.39927,                 1.4964,                 1.1449,                 1.7666,             0.00020004,             0.00020004,             0.00020004
                     82,                0.72788,                0.45844,                 1.0424,                0.70961,                0.67699,                0.70532,                0.41268,                 1.4752,                 1.1522,                 1.7342,              0.0001817,              0.0001817,              0.0001817
                     83,                0.68453,                0.41592,                 1.0144,                0.70725,                0.67003,                0.69311,                0.40498,                 1.5003,                  1.167,                 1.7693,             0.00016337,             0.00016337,             0.00016337
                     84,                0.66926,                0.40162,                 1.0062,                0.73809,                0.65924,                0.70886,                0.41668,                 1.4739,                 1.1594,                 1.7306,             0.00014503,             0.00014503,             0.00014503
                     85,                0.68697,                0.42445,                 1.0184,                0.65296,                0.74086,                0.71181,                0.41899,                 1.4836,                 1.1599,                 1.7373,             0.00012669,             0.00012669,             0.00012669
                     86,                0.65944,                0.41216,                 1.0052,                0.74826,                0.64834,                0.71552,                0.41737,                 1.4864,                 1.1484,                 1.7482,             0.00010836,             0.00010836,             0.00010836
                     87,                 0.6599,                0.40925,                 1.0043,                0.75755,                0.66291,                0.72039,                0.42537,                 1.4842,                 1.1326,                 1.7472,             9.0018e-05,             9.0018e-05,             9.0018e-05
                     88,                 0.6443,                0.40367,                  1.003,                0.75942,                0.65587,                0.71832,                0.42674,                 1.4839,                 1.1281,                 1.7477,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     89,                0.62178,                0.37994,                0.98099,                0.76303,                0.67293,                 0.7202,                0.42469,                 1.4953,                 1.1399,                 1.7576,             5.3344e-05,             5.3344e-05,             5.3344e-05
                     90,                0.64481,                0.37677,                 0.9871,                0.75867,                0.66853,                0.71767,                0.42552,                 1.4918,                 1.1498,                 1.7571,             3.5007e-05,             3.5007e-05,             3.5007e-05
